Nombre,Carbohidratos,Lipidos ,Proteina ,Sodio,Calorias 
chocorroles,24.4,6.1,1.7,94,340
jugo jumex,66,0,0,150,264
baconator,41,56,57,1890,940
Frosty,15,99,17,260,132
rajas,24,13,10,230,242
magnum,23.9,15.6,3.1,34,248
Nieve de oreo Holanda,17.7,5.2,1.6,30,124
ensalada buffalo,46,79,44,300,1110
blue cheese,1,14,0,240,130
Palomitas ACTll,17,7.6,2.9,250,148
tostitos,32,13,4,200,260
queso para nachos,14,13,4,1160,180
frambuesas,11.9,0.7,1.2,1,52
chicken noodles,44,1.5,7,610,270
pollo rostizado,0,6,138,60,660
salsa ,8,1,0,60,60
chicken tenders,52,28,28,1410,584
cerveza,12.8,0,1.7,14,155
brisket,0,44,124,88,900
ensalada de papa,32,5,6,0,180
salsa mango habanero,2,0,0,300,20
waffle integral,90,0,0,40,476
pollo a la naranja,10,30,26,880,420
chop suey,13.3,5.3,19,139,178
brocolli beef,20,4,11,480,160
arroz frito,138.4,36,6.4,960,904
galleta de la suerte,7,0,1,8,32
mandarina,5.5,0.1,0.4,0,26
chile relleno,37,20,23,770,400
gansito,29,8,2,120,200
subway BMT,47,20,22,1500,450
chilaquiles,47.8,48,14.6,0,665
agua de horchata,56,0,0,35,220
tapioca,60,6,3,450,300
mango,24.7,0.6,1.4,1.6,99
sabritones,16,8,2,620,140
clam chowder,24,22,6,770,320
queso manchego lala,1.3,4.3,2.8,200,55
salchichón chimex,13.5,12.2,10,1108,204
jugo Natura durazno,8,0,0,15,35
Double Western Bacon,55,76,55,1980,1010
Malteada Carls Jr,36,84,12,300,690
chile con queso,24,20,20,433,340
Chile colorado,12,12,22,1150,230
asado de puerco,4.8,20.5,23.2,57.7,300
camote,16.8,0.2,1.1,8.9,73
Lengua de res,4,16,15,69,224
lomo de puerco,6.6,10.4,18.8,407.9,197
noodles,41,1,7,0,200
surimi,1.9,0.3,4.3,40.5,28
rollo de sushi,54,2.5,13,340,340
poke bowl,52,10,39,0,460
germinado de soya,3.5,0,3,5,31
hard seltzer,2,0,0,20,100
galletas principe,56,12,6,150,300
flan ,17.5,3,3,68,108
fresas con crema,43,1.9,3.6,60,203
Agua fresca de melón,22.6,0.4,1.8,36,93
fajitas de pollo,0,0.5,18,175,77
Torta de pierna,44.7,19.8,21.7,499,448
Aguachile,3.52,4.84,12.3,446,107
cochinita pibil,3.7,6.6,17,700,142
banderilla,55.8,18.8,16.8,973,460
Dulce de leche,62,5.6,5.1,51,310
almendras,0.2,0.6,0.2,0,7
cacahuates japoneses,18.1,13,8.2,278,223
nutela,22,11,2,15,200
crepa,65,25,10,0,525
atole de fresa,40.5,3.8,4.2,45,209
cochinito,40,15,5,305,221
oreja,19,9,0,115,170
chicharrón prensado,0,37,15.6,396,400
chicharrón en salsa,29,8,4,20,190
galletas marías ,23.1,2.1,2.2,182,120
grilled cheese sandwich,57,29,23,1110,580
mostachón,29,10,4,90,220
pastel de chocolate,41,27,5,0,439
betún,22,6,0,0,140
membrillo,14.1,0.1,0.4,4,52
Empanada de carne,20.2,17.2,6.6,193,263
Pay de limón,54.5,20.6,3.8,479,404
Piña,19.6,0.2,0.8,2,74
Panini,22,10,13,620,230
Queso parmesano,0,1.5,2,77,22
Apio,1.2,0.1,0.3,32,6
claras de huevo,1,0,10,171,42
naranja,15.4,0.2,1.2,0,62
Alambre,10.6,22.3,37.7,881,394
Papas con chorizo,18.7,28.4,12.1,785,379
paleta galactea,10.3,3.3,0.8,43,75
paleta nesquik,18.3,3.3,1.5,86,109
fuze tea,48,0,0,24,192
margarina,0,8.4,0.1,112,75
dip de jalapeño,2,6,1,200,60
ostiones,1,0.53,1.9,32,17
lentejas,36.7,13.2,16.4,431,323
Alitas lemon pepper,3,3,63,690,300
Hamburguesa de pollo,44,14,19,880,380
roast beef,0,13.2,26.9,63,234
Entomatadas,11.38,3.02,3.63,121,85
nieve de yogurth,11.1,5.2,1.6,0,98
mermelada de fresa,9,0,0,0,36
peanut butter,7,16,8,290,204
suavicremas,8,4,1,0,72
semillas de girasol,0.9,8.2,3.4,0,91
Hot dog costco,46,32,20,1800,560
egg roll,9.3,5.5,3.9,163,103
salsa de soya,5.7,0,10.6,6423,65
cebollín,4.4,0.7,3.3,3,30
natilla,22.3,3.6,4.4,60,137
barritas,67.4,17.3,4.2,0,442
crema de café,0.5,1.8,0.4,0,20
jugo V8,7,0,1,0,30
vikingo OXXO,18.9,15,9.1,0,250
requesón,3.6,7,9,146,120
salmón,1,12.1,22.1,1.4,201
Huarache,38,12.5,7,335,350
mollete,32.1,1.1,6.5,0.2,168
kiwi,10.6,0.5,0,0,51
nuggets de pollo,51,30,36,1110,600
jugo de naranja,26,1,2,15,110
chilli beans,20,1,6,470,110
frijoles charros,10.3,14,8.3,791,202
chicharrón de pella,0,0.3,13.2,336,167
Espinacas,4.9,0.9,2.8,0,32
pan de nata,31,6,4,31,200
fritata,15,10,5,400,170
pan de platano,38.8,11.6,5.1,7.3,285
pastel de zanahoria,37,19,5,230,340
bagels,44,0,7,0,220
Albondigas,18,4.5,5,690,130
queso cottage,4.2,1.2,12.1,330,76
jarabe de chocolate hershey,12.2,0.2,0.3,83.2,52
sloppy joe,30.6,11.8,14.5,652,289
salchicha ahumada,6,12,0,660,168
pb&j sandwich,50,16.5,10,395,390
pay de calabaza,42,14.6,6,318,323
sandwich de langosta,1,18,15,480,230
pastel de cangrejo,5.1,10,11.2,491,160
fish and chips,30,7,11,420,230
clamato,8,0,1,705,28
calamar salteado,0,6,15,0,117
ramen,26,7,5,830,190
dumpling,19,9,7,330,180
yakimeshi mixto,40,4.8,6.3,0,228
longaniza,1.1,3.2,8,741,60
tacos de tripa,68.9,20.4,40.4,1316,616
hershey blanco,26,13,3,35,210
ostiones ,0.6,0.6,7.7,99,39
Fresca,28,0,0,35,110
chile chilaca,7,0,1,7,32
picadillo,6.6,17.4,32.2,742,321
enfrijoladas,27,5,17.2,204,196
birria,1.8,7.8,45.2,434,266
capirotada,42,5,7,240,240
coco,15,33,3.3,20,354
gringas,20,26,23,740,411
carne al pastor,1,5,17,890,120
nopalitos,9,0,2,780,45
arrachera,0,6,21.1,54,145
lasagna,42,3,15,0,275
chamorro de res,8.1,14.5,22.1,343,249
gatorade,36,0,0,270,140
suerox,6.8,0,0,314.2,39
buñuelos,30.7,12.3,3.6,159,245
Palanqueta,8.2,7.3,2.7,35,106
Tacos de canasta,16.3,5.6,4,136,129
enchiladas verdes,31,24.6,20.5,1014.6,404
canelitas ,22,5,2,95,140
Tinga,7,5,13,690,130
Torta de jamón,65.5,13.6,17.3,1346,457
pastel de tres leches,60.9,11.7,7.8,100,375
twinkies ,46,9,2,360,270
obleas,36,3,4,59,183
chocobanana,62.8,16.8,0,600,444
coctel de frutas,24.2,0.3,1,2,93
sandwich de helado,37,6,4,140,218
Aceite de oliva,0.1,14,0.1,0,120
capuccino,40,8,2,116,225
Bebida boost,41,4,10,150,240
skwinkles,16,0.5,0,250,70
chamoy,29.1,5,0,390,161
churro,24,14,3,200,234
root beer,47,0,0,35,170
danonino,7,2,3,0,60
Boba tea,46,6.7,2.3,38,250
Paleta solero limón,13.7,0,0,2,55
spam,1,16,7,790,180
salchichas queso jalapeño,9,27,12,1106,330
